country,year,estimate,hi,lo
HND,2009,0.61,0.74,0.51
HND,2010,0.69,0.86,0.59
HND,2011,0.89,0.95,0.76
HND,2012,0.43,0.53,0.36
HND,2013,0.47,0.58,0.4
HND,2014,0.49,0.62,0.42
HND,2015,0.4,0.5,0.34
HND,2016,0.6,0.77,0.52
HND,2017,0.59,0.76,0.5
HRV,2009,NA,NA,NA
HRV,2010,NA,NA,NA
HRV,2011,NA,NA,NA
HRV,2012,NA,NA,NA
HRV,2013,NA,NA,NA
HRV,2014,NA,NA,NA
HRV,2015,NA,NA,NA
HRV,2016,NA,NA,NA
HRV,2017,NA,NA,NA
HTI,2009,NA,NA,NA
HTI,2010,NA,NA,NA
HTI,2011,0.04,0.06,0.04
HTI,2012,0.39,0.49,0.31
HTI,2013,0.35,0.44,0.29
HTI,2014,0.36,0.46,0.3
HTI,2015,0.32,0.41,0.26
HTI,2016,0.35,0.44,0.29
HTI,2017,0.4,0.5,0.32
HUN,2009,NA,NA,NA
HUN,2010,NA,NA,NA
HUN,2011,NA,NA,NA
HUN,2012,NA,NA,NA
HUN,2013,NA,NA,NA
HUN,2014,NA,NA,NA
HUN,2015,NA,NA,NA
HUN,2016,NA,NA,NA
HUN,2017,NA,NA,NA
IDN,2009,NA,NA,NA
IDN,2010,NA,NA,NA
IDN,2011,NA,NA,NA
IDN,2012,NA,NA,NA
IDN,2013,0.04,0.04,0.03
IDN,2014,0.05,0.05,0.04
IDN,2015,0.06,0.07,0.05
IDN,2016,0.02,0.02,0.01
IDN,2017,0.01,0.01,0.01
IND,2009,NA,NA,NA
IND,2010,0.06,0.09,0.04
IND,2011,0.07,0.1,0.05
IND,2012,0.08,0.11,0.05
IND,2013,0.09,0.13,0.06
IND,2014,0.1,0.14,0.07
IND,2015,0.25,0.36,0.17
IND,2016,0.27,0.39,0.18
IND,2017,0.23,0.33,0.16
IRL,2009,NA,NA,NA
IRL,2010,NA,NA,NA
IRL,2011,NA,NA,NA
IRL,2012,NA,NA,NA
IRL,2013,NA,NA,NA
IRL,2014,NA,NA,NA
IRL,2015,NA,NA,NA
IRL,2016,NA,NA,NA
IRL,2017,NA,NA,NA
IRN,2009,0.02,0.02,0.01
IRN,2010,0.13,0.18,0.09
IRN,2011,0.03,0.04,0.02
IRN,2012,0.09,0.13,0.06
IRN,2013,0.12,0.18,0.08
IRN,2014,0.15,0.24,0.09
IRN,2015,0.2,0.32,0.11
IRN,2016,0.23,0.39,0.13
IRN,2017,0.31,0.58,0.16
IRQ,2009,NA,NA,NA
IRQ,2010,NA,NA,NA
IRQ,2011,NA,NA,NA
IRQ,2012,NA,NA,NA
IRQ,2013,NA,NA,NA
IRQ,2014,NA,NA,NA
IRQ,2015,NA,NA,NA
IRQ,2016,NA,NA,NA
IRQ,2017,NA,NA,NA
ISL,2009,NA,NA,NA
ISL,2010,NA,NA,NA
ISL,2011,NA,NA,NA
ISL,2012,NA,NA,NA
ISL,2013,NA,NA,NA
ISL,2014,NA,NA,NA
ISL,2015,NA,NA,NA
ISL,2016,NA,NA,NA
ISL,2017,NA,NA,NA
ISR,2009,NA,NA,NA
ISR,2010,NA,NA,NA
ISR,2011,NA,NA,NA
ISR,2012,NA,NA,NA
ISR,2013,NA,NA,NA
ISR,2014,NA,NA,NA
ISR,2015,NA,NA,NA
ISR,2016,NA,NA,NA
ISR,2017,NA,NA,NA
ITA,2009,NA,NA,NA
ITA,2010,NA,NA,NA
ITA,2011,NA,NA,NA
ITA,2012,NA,NA,NA
ITA,2013,NA,NA,NA
ITA,2014,NA,NA,NA
ITA,2015,NA,NA,NA
ITA,2016,NA,NA,NA
ITA,2017,NA,NA,NA
JAM,2009,NA,NA,NA
JAM,2010,NA,NA,NA
JAM,2011,0.63,0.75,0.54
JAM,2012,NA,NA,NA
JAM,2013,0.68,0.79,0.59
JAM,2014,0.59,0.69,0.51
JAM,2015,NA,NA,NA
JAM,2016,NA,NA,NA
JAM,2017,NA,NA,NA
